"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"29",73.399673634704,9.22416682981788,0,NA,NA,NA,NA,-1,-14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"30",72.961469449469,9.41202485312479,0,NA,NA,NA,NA,0,-13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIIRS"
"31",73.0030342531634,9.3882626691759,0,2513.82465819141,-18.8328218848944,0,NA,-1,-13.9,88.411577650612,-22.194566616416,-15.1324169259518,0,0,NA,NA,2008,2714,0,0,0,"VIIRS"
"32",72.5884017758624,9.63007350974873,0,2428.16685303516,-17.904844960985,0,NA,0,-12.9,88.7998488445711,-21.9327116278931,-13.8786869809031,0,0,NA,NA,1982,2673,0,0,0,"VIIRS"
"33",72.1840744340225,9.90876725739884,0,2348.45502396104,-17.307358003143,0,NA,1,-11.9,89.1745175438597,-21.964451626502,-13.0931220153346,0,0,NA,NA,1970,2669,0,0,0,"VIIRS"
"34",72.3045570675011,9.82573180497814,0,2703.94678913011,-19.1012039157304,0,NA,-1,-12.2,85.8852250708004,-25.7792027093004,-12.5932170372456,0,0,NA,NA,1954,3339,0,0,0,"VIIRS"
"35",71.9083854163952,10.0986988338849,0,2779.89494220718,-19.7189308477243,0,NA,0,-11.2,86.1497608899805,-27.1579088988714,-13.0534470170736,0,0,NA,NA,2000,3596.5,0,0,0,"VIIRS"
"36",71.5304472163022,10.3518897472764,0,2670.19597285737,-18.240320662722,0,NA,1,-10.2,86.4007215482785,-30.788171239756,-10.0302121495828,0,0,NA,NA,1880,4178.75,0,0,0,"VIIRS"
"37",71.6426359323056,10.2772929665209,0.0133271704799322,3179.73376473307,-22.8292797871171,0.958011709421727,365.448244067216,-1,-10.5,80.4426192126955,-32.3354961719364,-15.8068918963894,0,0,2.62253744718353,642.955498933491,2189,4476,0,0.00725691699604742,0,"VIIRS"
"38",71.2846734925935,10.5266033958663,0,3222.0610388574,-23.6385035618249,0,NA,0,-9.5,80.5487345408123,-32.3354961719364,-17.6398768160492,0,0,NA,NA,2316,4472,0,0,0,"VIIRS"
